dataset;pretty_name;preprocessA;normalise_by_num_nodes;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
ENZYMES;ENZYMES;[];True;50;0.3010000005364418;0.0420594843411164;23.315968132019044;1.0091581524965587;[0.3100000023841858, 0.29999999701976776, 0.3100000023841858, 0.3400000035762787, 0.3199999928474426, 0.32999999821186066, 0.2499999925494194, 0.2800000011920929, 0.21000000089406967, 0.36000001430511475];[23.03325319290161, 26.322474241256714, 22.823911666870117, 22.80683732032776, 22.938874006271362, 22.886030673980713, 22.982585668563843, 23.195449113845825, 23.03835439682007, 23.131911039352417]
MUTAG;MUTAG;[];True;50;0.8617543816566468;0.05513098799462932;5.498130989074707;0.2718013425725767;[0.8500000238418579, 0.8500000238418579, 0.8999999761581421, 0.8947368264198303, 0.7894737124443054, 0.8333333134651184, 0.9444444179534912, 0.8333333134651184, 0.9444444179534912, 0.7777777910232544];[5.229558229446411, 5.163985967636108, 5.2058985233306885, 5.282344102859497, 5.587347030639648, 5.490157127380371, 5.568386554718018, 5.635853052139282, 5.745121479034424, 6.072657823562622]
NCI1;NCI-1;[];True;50;0.6393333401944903;0.02902616657224925;89.67590749263763;0.6091021489024235;[0.6511111259460449, 0.6866666608386569, 0.622222234805425, 0.6066666709052192, 0.666666673289405, 0.5888888968361748, 0.6377777788374159, 0.615555571185218, 0.6533333427376218, 0.6644444465637207];[88.79447555541992, 88.88403391838074, 88.95094776153564, 89.58476758003235, 89.51090693473816, 90.07093358039856, 89.90486478805542, 90.2922854423523, 90.10291147232056, 90.6629478931427]
NCI109;NCI-109;[];True;50;0.6524444490671157;0.03341027938645;91.59104838371277;0.5062719474313951;[0.6088888976309035, 0.6222222314940559, 0.6733333402209811, 0.6755555470784506, 0.6466666658719381, 0.6200000080797408, 0.6600000063578287, 0.7244444489479065, 0.6244444515970018, 0.6688888933923509];[90.7928078174591, 90.79223942756653, 91.61712217330933, 91.2480936050415, 91.50393962860107, 91.61909198760986, 91.88335847854614, 91.85351967811584, 92.27612781524658, 92.32418322563171]
PTC_MM;PTC-MM;[];True;50;0.6486853897571564;0.05890331590704881;12.587300443649292;0.45588108443480513;[0.529411792755127, 0.6176470518112183, 0.5882353186607361, 0.7058823704719543, 0.7058823704719543, 0.7352941036224365, 0.6764705777168274, 0.6666666865348816, 0.6363636255264282, 0.625];[11.795398950576782, 12.487377405166626, 12.186140775680542, 12.25907588005066, 12.41108775138855, 12.548507690429688, 12.669377326965332, 12.99167799949646, 13.090740442276001, 13.43362021446228]
PTC_FM;PTC-FM;[];True;50;0.6302427768707275;0.05250479962115189;14.540860033035278;0.5887265180979986;[0.6944444179534912, 0.6666666865348816, 0.5833333134651184, 0.6285714507102966, 0.5714285969734192, 0.6285714507102966, 0.7058823704719543, 0.6470588445663452, 0.6470588445663452, 0.529411792755127];[13.562872886657715, 13.74317216873169, 13.913963317871094, 14.454837799072266, 14.496389150619507, 14.809730291366577, 14.872876167297363, 15.098735332489014, 15.100062370300293, 15.355960845947266]
PTC_MR;PTC-MR;[];True;50;0.5629085063934326;0.09650556895909264;16.595185589790344;0.6729989355613797;[0.6388888955116272, 0.6666666865348816, 0.5882353186607361, 0.5588235259056091, 0.6764705777168274, 0.5588235259056091, 0.5, 0.3235294222831726, 0.5882353186607361, 0.529411792755127];[15.433093070983887, 15.916467905044556, 16.071388959884644, 16.443798780441284, 16.322070121765137, 16.553288459777832, 16.83693289756775, 17.29179310798645, 17.471646547317505, 17.6113760471344]
PTC_FR;PTC-FR;[];True;50;0.6553174793720246;0.0054761946201324465;18.56379039287567;0.5505091791103327;[0.6388888955116272, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354];[17.694190502166748, 18.01281476020813, 18.000706434249878, 18.405680894851685, 18.392170906066895, 18.563220977783203, 18.803765296936035, 19.059901475906372, 19.193422079086304, 19.512030601501465]
ENZYMES;ENZYMES;[];False;50;0.29900000244379044;0.05243091156641518;36.639362001419066;0.59798714266618;[0.21000000089406967, 0.26999999582767487, 0.2900000065565109, 0.23999999463558197, 0.3500000089406967, 0.3200000077486038, 0.2499999925494194, 0.32999999821186066, 0.3700000047683716, 0.36000001430511475];[35.676952838897705, 35.89681959152222, 36.05622124671936, 36.30102491378784, 37.48174571990967, 36.85652685165405, 36.69373297691345, 36.9226279258728, 37.09862399101257, 37.409343957901]
MUTAG;MUTAG;[];False;50;0.8353801071643829;0.09210275207050882;19.53602602481842;0.5866146504898794;[0.699999988079071, 0.949999988079071, 0.8500000238418579, 0.8947368264198303, 0.7368420958518982, 0.9444444179534912, 0.8333333134651184, 0.9444444179534912, 0.7777777910232544, 0.7222222089767456];[18.772562742233276, 18.90273380279541, 18.928111791610718, 18.94351887702942, 19.463850498199463, 19.71045422554016, 19.86384105682373, 20.185168743133545, 20.395042419433594, 20.194976091384888]
NCI1;NCI-1;[];False;50;0.7200000021192763;0.016360141815391353;108.75841038227081;1.1668572136105648;[0.7222222222222222, 0.7333333359824287, 0.7044444481531779, 0.6977777812216017, 0.7377777894337972, 0.700000007947286, 0.7488888767030504, 0.7088888883590698, 0.7177777820163302, 0.7288888891537985];[107.35357975959778, 107.21903991699219, 107.58035445213318, 108.22482466697693, 108.36565661430359, 108.42916107177734, 110.32586884498596, 110.18680453300476, 109.98797678947449, 109.91083717346191]
NCI109;NCI-109;[];False;50;0.7137777785460153;0.03018952297315001;111.27407774925231;0.8752723750648669;[0.6733333335982429, 0.7266666690508524, 0.6977777745988634, 0.6977777812216017, 0.7733333309491476, 0.7133333418104384, 0.7199999954965379, 0.7511111034287347, 0.671111113495297, 0.7133333418104384];[109.89539504051208, 110.3246648311615, 110.60641241073608, 110.85717296600342, 110.79191184043884, 111.40108013153076, 111.73098278045654, 112.12717247009277, 112.3732419013977, 112.63274312019348]
PTC_MM;PTC-MM;[];False;50;0.675601601600647;0.056684455556295026;27.66299614906311;0.6483911630205755;[0.6470588445663452, 0.6764705777168274, 0.7352941036224365, 0.6764705777168274, 0.6470588445663452, 0.7352941036224365, 0.5588235259056091, 0.6969696879386902, 0.7575757503509521, 0.625];[26.789264917373657, 26.993263959884644, 26.954705476760864, 27.19014286994934, 27.831276178359985, 27.617512702941895, 27.703685522079468, 28.349705457687378, 28.54286527633667, 28.657539129257202]
PTC_FM;PTC-FM;[];False;50;0.5956769406795501;0.07364784000812259;30.114692282676696;0.7324842786972233;[0.6111111044883728, 0.6944444179534912, 0.4722222089767456, 0.6000000238418579, 0.6571428775787354, 0.6571428775787354, 0.6764705777168274, 0.5, 0.5588235259056091, 0.529411792755127];[29.057420015335083, 28.830263137817383, 30.799792289733887, 29.938474893569946, 30.073770999908447, 29.78909397125244, 29.946860313415527, 30.67774248123169, 30.92448091506958, 31.109023809432983]
PTC_MR;PTC-MR;[];False;50;0.558660140633583;0.05328125901514946;32.151465845108035;0.7408302933484386;[0.4444444477558136, 0.5833333134651184, 0.5882353186607361, 0.6470588445663452, 0.5588235259056091, 0.5, 0.5588235259056091, 0.529411792755127, 0.5882353186607361, 0.5882353186607361];[31.108585834503174, 31.39244771003723, 31.28597092628479, 31.513927936553955, 32.08984351158142, 32.57396364212036, 32.62045240402222, 32.60102438926697, 33.245930194854736, 33.08251190185547]
PTC_FR;PTC-FR;[];False;50;0.6808730304241181;0.04020990450889041;34.785992002487184;0.9226894802272902;[0.6944444179534912, 0.6285714507102966, 0.6571428775787354, 0.7142857313156128, 0.6000000238418579, 0.7142857313156128, 0.6857143044471741, 0.6857143044471741, 0.7428571581840515, 0.6857143044471741];[33.617793798446655, 33.57528614997864, 33.8610200881958, 34.599031925201416, 34.382797956466675, 34.66139340400696, 35.27077770233154, 35.885577917099, 35.68099045753479, 36.32525062561035]
ENZYMES;ENZYMES;['add_self_loops'];True;50;0.28299999982118607;0.06017474713203049;54.1633556842804;1.063945209481027;[0.2499999925494194, 0.23999999463558197, 0.39000000059604645, 0.20000000298023224, 0.2199999988079071, 0.35999999940395355, 0.3500000089406967, 0.2800000011920929, 0.25999999791383743, 0.2800000011920929];[52.72710704803467, 52.8486065864563, 53.19317936897278, 53.668243408203125, 53.772424936294556, 54.388715982437134, 56.173593521118164, 54.67451620101929, 54.86398482322693, 55.323184967041016]
MUTAG;MUTAG;['add_self_loops'];True;50;0.8501169502735137;0.08324794445232729;36.968161821365356;0.8337581740497974;[0.8500000238418579, 0.8999999761581421, 0.949999988079071, 0.6842105388641357, 0.8947368264198303, 0.9444444179534912, 0.7222222089767456, 0.8888888955116272, 0.8333333134651184, 0.8333333134651184];[35.70138502120972, 35.88966488838196, 36.08641052246094, 36.7898006439209, 36.98533511161804, 37.395565032958984, 37.312695264816284, 37.13037967681885, 38.06259751319885, 38.32778453826904]
